cand,phas1901,module1,mark1,module2,mark2,module3,mark3,module4,mark4,module5,mark5,module6,mark6,module7,mark7,module8,mark8,outcome
PYSS4,59,PHAS1246,88,PHAS1228,87,PHAS1202,71,PHAS1245,70,PHAS1224,67,PHAS1449,58,PHAS1247,56,PHAS1240,27,P
PZSS3,60,PHAS1241,73,PHAS1228,60,PHAS1240,59,PHAS1246,50,PHAS1202,46,PHAS1224,45,PHAS1247,37,PHAS1245,28,>?
PZTT1,60,PHAS1246,82,PHAS1228,81,PHAS1241,78,PHAS1202,77,PHAS1240,74,PHAS1245,65,PHAS1247,60,PHAS1224,52,P
PZZS6,66,PHAS1246,88,PHAS1228,85,PHAS1130,81,PHAS1202,74,PHAS1240,72,PHAS1224,70,PHAS1245,68,PHAS1247,46,P
QBTL2,76,PHAS1246,76,PHAS1241,72,PHAS1240,68,PHAS1202,58,PHAS1245,58,PHAS1228,57,PHAS1247,48,PHAS1224,30,P
QCFR9,70,PHAS1228,80,PHAS1246,78,PHAS1130,77,PHAS1240,69,PHAS1202,64,PHAS1245,64,PHAS1247,48,PHAS1224,37,P
QCJT3,51,PHAS1241,63,PHAS1240,59,PHAS1245,48,PHAS1202,47,PHAS1228,45,PHAS1246,42,PHAS1224,37,PHAS1247,36,>?
QCMK9,81,PHAS1246,85,PHAS1202,78,PHAS1228,76,PHAS1241,76,PHAS1240,73,PHAS1224,66,PHAS1247,63,PHAS1245,55,P
QFBZ2,76,PHAS1241,74,PHAS1228,73,PHAS1240,67,PHAS1202,61,PHAS1246,51,PHAS1245,50,PHAS1224,47,PHAS1247,40,P
QFLB6,70,PHAS1228,81,PHAS1246,71,PHAS1202,68,PHAS1240,68,PHAS1245,67,PHAS1449,62,PHAS1247,60,PHAS1224,58,P
QFLJ8,61,PHAS1228,88,PHAS1246,85,PHAS1202,77,PHAS1241,75,PHAS1245,73,PHAS1240,69,PHAS1224,67,PHAS1247,49,P
QFNJ6,67,PHAS1240,85,PHAS1246,82,PHAS1228,80,PHAS1202,78,PHAS1241,77,PHAS1245,64,PHAS1224,58,PHAS1247,49,P
QGKB6,69,PHAS1240,78,PHAS1241,69,PHAS1246,51,PHAS1228,47,PHAS1202,44,PHAS1245,40,PHAS1247,32,PHAS1224,23,>?
QGNS6,73,PHAS1246,70,PHAS1240,69,PHAS1245,65,PHAS1202,56,PHAS1228,55,PHAS1224,40,PHAS1247,35,PHAS1241,0,>?
QHFS3,68,PHAS1202,73,PHAS1228,71,PHAS1245,71,PHAS1246,69,PHAS1241,66,PHAS1240,60,PHAS1224,45,PHAS1247,40,P
QHLB4,65,PHAS1240,80,PHAS1228,79,PHAS1241,77,PHAS1246,70,PHAS1202,69,PHAS1245,67,PHAS1247,55,PHAS1224,52,P
QHPK1,72,PHAS1245,78,PHAS1240,77,PHAS1241,77,PHAS1246,76,PHAS1228,64,PHAS1202,63,PHAS1224,53,PHAS1247,48,P
QJGH1,67,PHAS1228,93,PHAS1245,92,PHAS1246,92,PHAS1449,90,PHAS1224,79,PHAS1202,77,PHAS1240,77,PHAS1247,65,P
QJGS0,64,PHAS1246,93,PHAS1245,87,PHAS1228,86,PHAS1449,83,PHAS1202,82,PHAS1240,72,PHAS1247,69,PHAS1224,61,P
QJJK5,58,PHAS1241,80,PHAS1240,76,PHAS1202,68,PHAS1246,64,PHAS1228,63,PHAS1245,53,PHAS1224,52,PHAS1247,46,P
QJKR7,44,PHAS1240,65,PHAS1241,64,PHAS1202,54,PHAS1246,46,PHAS1245,28,PHAS1247,26,PHAS1228,25,PHAS1224,19,>>
QJNZ6,63,PHAS1202,64,PHAS1246,64,PHAS1228,61,PHAS1245,61,PHAS1240,49,PHAS1247,46,PHAS1224,45,PHAS1241,37,P
QJQJ9,64,PHAS1228,68,PHAS1246,62,PHAS1240,56,PHAS1202,55,PHAS1241,54,PHAS1245,52,PHAS1224,44,PHAS1247,36,P
QJWJ3,66,PHAS1202,66,PHAS1240,61,PHAS1228,60,PHAS1246,60,PHAS1241,57,PHAS1245,54,PHAS1224,38,PHAS1247,37,>?
QJZL8,59,PHAS1241,76,PHAS1240,66,PHAS1246,64,PHAS1245,61,PHAS1202,57,PHAS1224,46,PHAS1247,34,PHAS1228,33,>?
QKDJ1,56,PHAS1241,77,PHAS1202,71,PHAS1228,71,PHAS1246,71,PHAS1240,66,PHAS1245,53,PHAS1224,44,PHAS1247,37,P
QKDR3,70,PHAS1240,70,PHAS1228,69,PHAS1241,68,PHAS1202,63,PHAS1246,61,PHAS1245,57,PHAS1224,53,PHAS1247,46,P
QKGJ8,60,PHAS1228,88,PHAS1246,86,PHAS1240,80,PHAS1202,76,PHAS1245,75,PHAS1241,74,PHAS1224,70,PHAS1247,69,P
QKHJ7,77,PHAS1202,73,PHAS1228,71,PHAS1130,64,PHAS1240,64,PHAS1246,64,PHAS1245,62,PHAS1224,41,PHAS1247,41,P
QKHR9,61,PHAS1228,80,PHAS1246,78,PHAS1202,72,PHAS1240,72,PHAS1245,71,PHAS1449,67,PHAS1247,46,PHAS1224,40,P
QKNQ4,48,PHAS1130,76,PHAS1246,71,PHAS1202,69,PHAS1240,67,PHAS1228,66,PHAS1245,62,PHAS1224,51,PHAS1247,46,P
QKWS3,72,PHAS1246,91,PHAS1245,88,PHAS1240,86,PHAS1202,82,PHAS1228,82,PHAS1241,79,PHAS1224,76,PHAS1247,61,P
QLCT1,79,PHAS1241,84,PHAS1240,80,PHAS1228,77,PHAS1202,72,PHAS1224,60,PHAS1246,60,PHAS1247,57,PHAS1245,55,P
QLXS1,74,PHAS1228,91,PHAS1246,87,PHAS1449,84,PHAS1224,77,PHAS1240,77,PHAS1245,77,PHAS1202,76,PHAS1247,63,P
QMMB8,70,PHAS1246,96,PHAS1228,89,PHAS1245,85,PHAS1449,84,PHAS1202,83,PHAS1224,78,PHAS1247,74,PHAS1240,71,P
QMMJ0,44,PHAS1241,59,PHAS1202,55,PHAS1240,51,PHAS1246,45,PHAS1228,41,PHAS1247,35,PHAS1245,32,PHAS1224,18,>>
QMPB5,41,PHAS1246,73,PHAS1245,62,PHAS1228,57,PHAS1240,54,PHAS1241,52,PHAS1202,40,PHAS1224,34,PHAS1247,31,>?
QMPK6,65,PHAS1246,67,PHAS1228,66,PHAS1202,59,PHAS1240,57,PHAS1245,54,PHAS1241,47,PHAS1247,47,PHAS1224,43,P
QNJT2,59,PHAS1246,92,PHAS1245,84,PHAS1228,79,PHAS1202,69,PHAS1240,66,PHAS1241,65,PHAS1224,62,PHAS1247,58,P
QNMZ3,79,PHAS1241,67,PHAS1240,59,PHAS1245,35,PHAS1224,34,PHAS1202,16,PHAS1228,11,PHAS1247,10,PHAS1246,0,>>
QNRC1,48,PHAS1246,73,PHAS1241,72,PHAS1245,71,PHAS1228,60,PHAS1224,48,PHAS1240,48,PHAS1202,36,PHAS1247,36,>?
QNYB5,73,PHAS1241,84,PHAS1228,83,PHAS1240,83,PHAS1202,71,PHAS1246,71,PHAS1224,57,PHAS1247,55,PHAS1245,47,P
QPCK6,76,PHAS1241,75,PHAS1240,64,PHAS1228,58,PHAS1202,56,PHAS1245,56,PHAS1246,54,PHAS1247,42,PHAS1224,36,P
QPQH5,60,PHAS1245,83,PHAS1246,81,PHAS1224,77,PHAS1228,75,PHAS1202,68,PHAS1240,61,PHAS1247,52,PHAS1449,41,P
QQDS6,67,PHAS1240,80,PHAS1449,77,PHAS1246,69,PHAS1202,68,PHAS1245,56,PHAS1224,49,PHAS1228,48,PHAS1247,34,P
QQKB6,62,PHAS1241,72,PHAS1240,69,PHAS1228,58,PHAS1246,57,PHAS1202,49,PHAS1245,46,PHAS1247,38,PHAS1224,35,>?
QQTB7,66,PHAS1449,83,PHAS1246,79,PHAS1228,78,PHAS1202,76,PHAS1245,74,PHAS1240,69,PHAS1224,57,PHAS1247,51,P
QQTZ3,66,PHAS1228,77,PHAS1202,76,PHAS1246,71,PHAS1240,70,PHAS1241,68,PHAS1224,60,PHAS1247,53,PHAS1245,43,P
QQVB5,74,PHAS1245,92,PHAS1228,87,PHAS1246,86,PHAS1224,77,PHAS1130,75,PHAS1202,73,PHAS1240,71,PHAS1247,69,P
QQWZ0,78,PHAS1246,86,PHAS1202,82,PHAS1228,78,PHAS1241,77,PHAS1240,74,PHAS1245,66,PHAS1247,54,PHAS1224,42,P
QRKT7,58,PHAS1228,80,PHAS1240,77,PHAS1246,76,PHAS1202,73,PHAS1241,67,PHAS1245,59,PHAS1247,46,PHAS1224,45,P
QRSK8,64,PHAS1240,62,PHAS1202,58,PHAS1241,57,PHAS1228,38,PHAS1246,38,PHAS1247,35,PHAS1245,24,PHAS1224,22,>>
QSZL9,74,PHAS1449,62,PHAS1245,59,PHAS1240,57,PHAS1202,54,PHAS1246,53,PHAS1228,50,PHAS1224,26,PHAS1241,0,>?
QTNS3,79,PHAS1228,85,PHAS1449,84,PHAS1240,81,PHAS1245,80,PHAS1246,79,PHAS1247,70,PHAS1202,66,PHAS1224,63,P
QTQB7,64,PHAS1240,56,PHAS1449,30,PHAS1246,5,PHAS1202,0,PHAS1224,0,PHAS1228,0,PHAS1245,0,PHAS1247,0,>>
QVDZ4,70,PHAS1245,95,PHAS1246,95,PHAS1228,91,PHAS1202,81,PHAS1241,78,PHAS1247,77,PHAS1240,72,PHAS1224,66,P
QXVB8,61,PHAS1228,94,PHAS1202,81,PHAS1224,78,PHAS1241,77,PHAS1246,73,PHAS1245,66,PHAS1240,56,PHAS1247,53,P
QYGB2,64,PHAS1246,92,PHAS1228,86,PHAS1241,83,PHAS1240,81,PHAS1202,77,PHAS1247,75,PHAS1245,73,PHAS1224,70,P
QYGK3,69,PHAS1246,97,PHAS1228,92,PHAS1202,91,PHAS1240,89,PHAS1449,89,PHAS1245,86,PHAS1247,81,PHAS1224,80,P
RBCR2,76,PHAS1202,74,PHAS1240,69,PHAS1224,68,PHAS1228,68,PHAS1241,65,PHAS1245,65,PHAS1246,65,PHAS1247,41,P
RCPB4,66,PHAS1246,96,PHAS1228,87,PHAS1202,84,PHAS1245,84,PHAS1240,73,PHAS1247,67,PHAS1241,66,PHAS1224,55,P
RCWJ9,72,PHAS1246,78,PHAS1240,70,PHAS1245,70,PHAS1202,69,PHAS1228,68,PHAS1241,67,PHAS1224,56,PHAS1247,35,P
RCWZ3,59,PHAS1246,79,PHAS1228,78,PHAS1240,70,PHAS1245,70,PHAS1202,69,PHAS1241,69,PHAS1224,52,PHAS1247,50,P
RCZC3,70,PHAS1240,85,PHAS1241,76,PHAS1202,72,PHAS1246,65,PHAS1228,64,PHAS1224,57,PHAS1245,56,PHAS1247,49,P
RDSR4,47,PHAS1246,75,PHAS1202,70,PHAS1228,70,PHAS1245,64,PHAS1247,64,PHAS1240,58,PHAS1241,51,PHAS1224,43,P
RFKZ2,71,PHAS1240,73,PHAS1246,71,PHAS1202,68,PHAS1130,66,PHAS1245,60,PHAS1224,47,PHAS1228,34,PHAS1247,34,>?
RGXS5,59,PHAS1228,79,PHAS1246,79,PHAS1202,77,PHAS1241,71,PHAS1245,66,PHAS1240,63,PHAS1247,51,PHAS1224,48,P
RHDR5,77,PHAS1240,69,PHAS1241,65,PHAS1228,60,PHAS1246,52,PHAS1202,47,PHAS1245,47,PHAS1224,34,PHAS1247,31,>?
RJGS9,69,PHAS1246,83,PHAS1241,78,PHAS1228,77,PHAS1240,74,PHAS1202,73,PHAS1245,62,PHAS1224,59,PHAS1247,45,P
RKCJ1,61,PHAS1246,75,PHAS1241,67,PHAS1245,66,PHAS1240,54,PHAS1202,48,PHAS1247,32,PHAS1224,31,PHAS1228,19,>?
RKGJ7,73,PHAS1228,75,PHAS1202,74,PHAS1240,71,PHAS1241,68,PHAS1246,66,PHAS1245,56,PHAS1224,41,PHAS1247,35,P
RKTZ8,67,PHAS1130,74,PHAS1240,67,PHAS1246,51,PHAS1202,45,PHAS1245,36,PHAS1228,31,PHAS1247,28,PHAS1224,25,>>
RLLT1,72,PHAS1240,78,PHAS1202,67,PHAS1245,48,PHAS1246,44,PHAS1449,44,PHAS1247,35,PHAS1228,14,PHAS1224,10,>>
RLTJ3,58,PHAS1241,73,PHAS1246,67,PHAS1228,62,PHAS1240,62,PHAS1245,52,PHAS1202,51,PHAS1247,45,PHAS1224,33,P
RNNB5,75,PHAS1246,92,PHAS1245,81,PHAS1228,80,PHAS1240,75,PHAS1202,71,PHAS1247,68,PHAS1224,65,PHAS1241,63,P
RNRZ7,49,PHAS1246,82,PHAS1240,74,PHAS1228,73,PHAS1202,68,PHAS1245,64,PHAS1241,61,PHAS1247,52,PHAS1224,42,P
RNYC3,71,PHAS1246,87,PHAS1228,84,PHAS1245,84,PHAS1202,80,PHAS1224,72,PHAS1247,68,PHAS1240,66,PHAS1241,62,P
RPJC6,73,PHAS1202,62,PHAS1130,55,PHAS1246,52,PHAS1228,47,PHAS1240,47,PHAS1245,40,PHAS1224,37,PHAS1247,36,>?
RPYK3,60,PHAS1246,92,PHAS1245,78,PHAS1228,74,PHAS1202,73,PHAS1240,67,PHAS1247,65,PHAS1241,63,PHAS1224,0,P
RQYZ7,56,PHAS1246,67,PHAS1240,66,PHAS1241,64,PHAS1228,45,PHAS1202,43,PHAS1245,40,PHAS1224,19,PHAS1247,18,>>
RSDQ5,73,PHAS1241,83,PHAS1246,78,PHAS1228,75,PHAS1240,68,PHAS1245,68,PHAS1202,66,PHAS1247,53,PHAS1224,44,P
RVSR6,59,PHAS1224,65,PHAS1240,63,PHAS1246,62,PHAS1228,60,PHAS1241,59,PHAS1202,56,PHAS1247,45,PHAS1245,42,P
RVZK6,56,PHAS1246,79,PHAS1228,66,PHAS1202,53,PHAS1224,48,PHAS1240,48,PHAS1245,48,PHAS1241,44,PHAS1247,36,P
RWJC9,38,PHAS1246,65,PHAS1228,58,PHAS1245,53,PHAS1202,49,PHAS1224,41,PHAS1247,30,PHAS1240,27,PHAS1449,10,>>
RYTB8,68,PHAS1246,63,PHAS1202,61,PHAS1247,57,PHAS1240,52,PHAS1245,43,PHAS1241,41,PHAS1228,40,PHAS1224,46,P